Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone;;,Status Category,Month,Preprocessed Complaint,Complaint Category
250635,Disney Cable Internet Speeds,22/04/2015,2015-04-22,3:53:50 PM,Customer Care Call,Abingdon,Maryland,21009,Closed,No;;,Closed,4,disney cable internet speeds,Internet
223441,Payment disappear - service got disconnected,04/08/2015,2015-08-04,10:22:56 AM,Internet,Acworth,Georgia,30102,Closed,No;;,Closed,8,payment disappear - service got disconnected,Billing
242732,Speed and Service,18/04/2015,2015-04-18,9:55:47 AM,Internet,Acworth,Georgia,30101,Closed,Yes;;,Closed,4,speed and service,Internet
277946,Disney Imposed a New Usage Cap of 300GB that punishes streaming.,05/07/2015,2015-07-05,11:59:35 AM,Internet,Acworth,Georgia,30101,Open,Yes;;,Open,7,disney imposed a new usage cap of 300gb that punishes streaming.,Network
307175,Disney not working and no service to boot,26/05/2015,2015-05-26,1:25:26 PM,Internet,Acworth,Georgia,30101,Solved,No;;,Closed,5,disney not working and no service to boot,Network
338519,ISP Charging for arbitrary data limits with overage fees,06/12/2015,2015-12-06,9:59:40 PM,Internet,Acworth,Georgia,30101,Solved,No;;,Closed,12,isp charging for arbitrary data limits with overage fees,Internet
361148,Throttling service and unreasonable data caps,24/06/2015,2015-06-24,10:13:55 AM,Customer Care Call,Acworth,Georgia,30101,Pending,No;;,Open,6,throttling service and unreasonable data caps,Internet
359792,Disney refuses to help troubleshoot and correct my service.,23/06/2015,2015-06-23,6:56:14 PM,Internet,Adrian,Michigan,49221,Solved,No;;,Closed,6,disney refuses to help troubleshoot and correct my service.,Network
318072,Disney extended outages,06/01/2015,2015-01-06,11:46:30 PM,Customer Care Call,Alameda,California,94502,Closed,No;;,Closed,1,disney extended outages,Network
371214,Disney Raising Prices and Not Being Available To Ask Why,28/06/2015,2015-06-28,6:46:31 PM,Customer Care Call,Alameda,California,94501,Open,Yes;;,Open,6,disney raising prices and not being available to ask why,Billing
255938,Billing after service was asked to be disconnected,24/04/2015,2015-04-24,4:40:36 PM,Internet,Albuquerque,New Mexico,87106,Closed,No;;,Closed,4,billing after service was asked to be disconnected,Billing
276409,YAHOO FAILURE TO RESTORE EMAIL SEARCH FEATURE,05/06/2015,2015-06-05,3:09:49 PM,Customer Care Call,Albuquerque,New Mexico,87109,Closed,No;;,Closed,6,yahoo failure to restore email search feature,Email
339282,Disney Violating Open Internet Rules by Blocking HBO Go Access on Sony Consoles,13/06/2015,2015-06-13,4:03:18 PM,Internet,Albuquerque,New Mexico,87105,Open,Yes;;,Open,6,disney violating open internet rules by blocking hbo go access on sony consoles,Internet
360178,Internet speed,23/06/2015,2015-06-23,9:23:23 PM,Internet,Albuquerque,New Mexico,87113,Solved,No;;,Closed,6,internet speed,Internet
376268,Internet Disconnects Every Night,30/06/2015,2015-06-30,10:30:02 PM,Customer Care Call,Albuquerque,New Mexico,87116,Solved,No;;,Closed,6,internet disconnects every night,Internet
370137,Internet complaint,27/06/2015,2015-06-27,3:25:03 PM,Customer Care Call,Albuquerqur,New Mexico,87102,Pending,No;;,Open,6,internet complaint,Internet
363695,Internet Availability and Speed,24/06/2015,2015-06-24,11:47:33 PM,Customer Care Call,Alexandria,Indiana,46001,Solved,No;;,Closed,6,internet availability and speed,Internet
238694,Disney owes me $65 and claims I need to return equipment I never had,16/04/2015,2015-04-16,10:04:57 AM,Internet,Alexandria,Virginia,22304,Closed,No;;,Closed,4,disney owes me $65 and claims i need to return equipment i never had,Other
230876,Horrible Internet Service,04/11/2015,2015-11-04,7:48:05 PM,Customer Care Call,Alexandria,Virginia,22305,Closed,No;;,Closed,11,horrible internet service,Internet
318725,Failure to provide services that I am billed for.,06/02/2015,2015-02-06,1:03:52 PM,Customer Care Call,Alexandria,Virginia,22314,Closed,No;;,Closed,2,failure to provide services that i am billed for.,Billing
327657,Internet out all the time but they have a monopoly,06/07/2015,2015-07-06,8:55:43 PM,Customer Care Call,Alexandria,Virginia,22305,Solved,No;;,Closed,7,internet out all the time but they have a monopoly,Internet
328742,horrible cable service and customer service,06/08/2015,2015-08-06,3:18:58 PM,Internet,Alexandria,Virginia,22312,Solved,No;;,Closed,8,horrible cable service and customer service,Internet
328165,Speed,06/08/2015,2015-08-06,12:03:37 PM,Customer Care Call,Alexandria,Virginia,22304,Solved,No;;,Closed,8,speed,Internet
370538,Disney monopoly bundling practices,27/06/2015,2015-06-27,9:04:34 PM,Internet,Alexandria,Virginia,22304,Open,No;;,Open,6,disney monopoly bundling practices,Network
370363,Disney!,27/06/2015,2015-06-27,6:37:29 PM,Internet,Alexandria,Virginia,22305,Solved,No;;,Closed,6,disney!,Other
270163,bait and switch,05/02/2015,2015-02-05,3:55:24 PM,Internet,Algonquin,Illinois,60102,Open,Yes;;,Open,2,bait and switch,Network
355976,Disney Customer Service,22/06/2015,2015-06-22,2:10:39 PM,Internet,Aliquippa,Pennsylvania,15001,Open,No;;,Open,6,disney customer service,Network
260651,Apartment Management's Exclusivity Contract with Disney,28/04/2015,2015-04-28,8:01:46 AM,Customer Care Call,Allston,Massachusetts,2134,Closed,No;;,Closed,4,apartment management's exclusivity contract with disney,Billing
305340,Unable to reach a Disney agent for internet and billing issues.,24/05/2015,2015-05-24,2:57:47 PM,Customer Care Call,Aloha,Oregon,97006,Solved,No;;,Closed,5,unable to reach a disney agent for internet and billing issues.,Internet
360759,Wifi internet not working as well,24/06/2015,2015-06-24,2:23:23 AM,Internet,Aloha,Oregon,97006,Pending,No;;,Open,6,wifi internet not working as well,Internet
265487,Disney data caps,29/04/2015,2015-04-29,9:40:19 PM,Internet,Alpharetta,Georgia,30022,Closed,No;;,Closed,4,disney data caps,Network
296608,Disney Internet Data Cap,19/05/2015,2015-05-19,10:56:20 AM,Internet,Alpharetta,Georgia,30022,Solved,No;;,Closed,5,disney internet data cap,Internet
310990,XFINITY Movers Edge program,28/05/2015,2015-05-28,10:37:13 AM,Customer Care Call,Alpharetta,Georgia,30022,Solved,No;;,Closed,5,xfinity movers edge program,Other
325342,Disney Data Internet Usage,06/05/2015,2015-05-06,1:25:58 PM,Internet,Alpharetta,Georgia,30022,Solved,No;;,Closed,5,disney data internet usage,Internet
337489,Disney not refunding my credit,06/12/2015,2015-12-06,3:59:57 PM,Internet,Alpharetta,Georgia,30005,Solved,No;;,Closed,12,disney not refunding my credit,Billing
354116,Disney,20/06/2015,2015-06-20,5:03:09 PM,Internet,Alpharetta,Georgia,30022,Solved,No;;,Closed,6,disney,Other
371829,No Service,29/06/2015,2015-06-29,11:23:38 AM,Internet,Alpharetta,Georgia,30005,Closed,No;;,Closed,6,no service,Network
373874,Disney,30/06/2015,2015-06-30,12:24:57 AM,Customer Care Call,Alvin,Texas,77511,Solved,No;;,Closed,6,disney,Other
348923,Disney blocking DirecTv signals,18/06/2015,2015-06-18,1:50:02 PM,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No;;,Open,6,disney blocking directv signals,Network
302574,pmts,21/05/2015,2015-05-21,8:53:29 PM,Internet,Amesbury,Massachusetts,1913,Open,No;;,Open,5,pmts,Other
343346,Slow Internet Speed,16/06/2015,2015-06-16,1:45:58 PM,Internet,Amherst,New Hampshire,3031,Open,No;;,Open,6,slow internet speed,Internet
286768,not getting what I am paying for with internet,05/12/2015,2015-12-05,9:06:01 PM,Customer Care Call,Andover,Minnesota,55304,Solved,No;;,Closed,12,not getting what i am paying for with internet,Internet
223179,Disney bandwidth every evening drops to 10% of what is promised to our business,04/08/2015,2015-08-04,1:04:24 AM,Internet,Angels Camp,California,95222,Closed,No;;,Closed,8,disney bandwidth every evening drops to 10% of what is promised to our business,Network
235980,isp dishonest about speeds,14/04/2015,2015-04-14,8:57:50 PM,Customer Care Call,Angels Camp,California,95222,Closed,No;;,Closed,4,isp dishonest about speeds,Internet
236469,Deceptive sales- change in billing amount etc.,15/04/2015,2015-04-15,10:16:14 AM,Internet,Ann Arbor,Michigan,48104,Closed,No;;,Closed,4,deceptive sales- change in billing amount etc.,Billing
288602,Disney Billing Dispute,13/05/2015,2015-05-13,6:20:32 PM,Internet,Ann Arbor,Michigan,48105,Closed,No;;,Closed,5,disney billing dispute,Internet
309379,Disney,27/05/2015,2015-05-27,1:50:37 PM,Internet,Ann Arbor,Michigan,48105,Solved,No;;,Closed,5,disney,Other
351079,Disney Billing and Service Issues,19/06/2015,2015-06-19,9:19:46 AM,Internet,Ann Arbor,Michigan,48105,Solved,No;;,Closed,6,disney billing and service issues,Billing
366705,Cable prices rising,25/06/2015,2015-06-25,6:17:58 PM,Internet,Ann Arbor,Michigan,48103,Solved,No;;,Closed,6,cable prices rising,Internet
368705,service issues,26/06/2015,2015-06-26,3:56:18 PM,Internet,Annapolis,Maryland,21401,Solved,No;;,Closed,6,service issues,Network
347369,HBO GO on Playstation 4,17/06/2015,2015-06-17,8:41:23 PM,Internet,Annville,Pennsylvania,17003,Solved,No;;,Closed,6,hbo go on playstation 4,Other
291784,internet connectivity,15/05/2015,2015-05-15,1:07:11 PM,Customer Care Call,Anoka,Minnesota,55303,Solved,No;;,Closed,5,internet connectivity,Internet
308478,Email issues,26/05/2015,2015-05-26,9:45:02 PM,Customer Care Call,Antioch,California,94509,Solved,No;;,Closed,5,email issues,Email
309851,Monopoly,27/05/2015,2015-05-27,4:24:46 PM,Internet,Antioch,Tennessee,37013,Solved,No;;,Closed,5,monopoly,Company or Marketing
367342,Complaint against Xfinity/Disney,26/06/2015,2015-06-26,2:38:50 AM,Internet,Aptos,California,95003,Closed,No;;,Closed,6,complaint against xfinity/disney,Service Complaints
227209,Disney credit after cancellation has not been received after more than a year,04/09/2015,2015-09-04,4:40:05 PM,Customer Care Call,Arlington,Virginia,22202,Closed,No;;,Closed,9,disney credit after cancellation has not been received after more than a year,Other
266376,Disney False Promises,30/04/2015,2015-04-30,1:06:52 PM,Internet,Arlington,Virginia,22206,Closed,No;;,Closed,4,disney false promises,Service Complaints
325273,Disney Blocking UDP Port 443,06/05/2015,2015-05-06,1:02:10 PM,Customer Care Call,Arlington,Virginia,22206,Closed,Yes;;,Closed,5,disney blocking udp port 443,Other
342435,Issues with Disney,15/06/2015,2015-06-15,10:39:15 PM,Internet,Arlington,Virginia,22206,Solved,No;;,Closed,6,issues with disney,Other
348514,Disney Refuses to Schedule a Future Service Stoppage,18/06/2015,2015-06-18,12:02:57 PM,Internet,Arlington,Virginia,22204,Solved,No;;,Closed,6,disney refuses to schedule a future service stoppage,Network
352100,Disney,19/06/2015,2015-06-19,2:36:57 PM,Internet,Arlington,Virginia,22206,Open,No;;,Open,6,disney,Other
355887,Overbilling,22/06/2015,2015-06-22,1:45:40 PM,Customer Care Call,Arlington,Virginia,22207,Solved,Yes;;,Closed,6,overbilling,Billing
363869,Spotty Disney service,25/06/2015,2015-06-25,8:03:27 AM,Customer Care Call,Arlington,Virginia,22202,Solved,No;;,Closed,6,spotty disney service,Network
369398,without service despite willingness to pay,26/06/2015,2015-06-26,9:09:12 PM,Customer Care Call,Arlington,Virginia,22204,Open,No;;,Open,6,without service despite willingness to pay,Billing
226231,Issues with Xfinity/Disney,04/09/2015,2015-09-04,12:24:32 PM,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No;;,Closed,9,issues with xfinity/disney,Other
241880,Cable Modem rent for Internet access,17/04/2015,2015-04-17,3:48:16 PM,Internet,Arlington Heights,Illinois,60004,Closed,No;;,Closed,4,cable modem rent for internet access,Internet
360187,Disney/Xfinity,23/06/2015,2015-06-23,9:27:28 PM,Customer Care Call,Arvada,Colorado,80004,Solved,No;;,Closed,6,disney/xfinity,Other
223960,Speed issues,04/08/2015,2015-08-04,12:53:45 PM,Internet,Ashland,Virginia,23005,Closed,No;;,Closed,8,speed issues,Internet
355934,AT&T,22/06/2015,2015-06-22,1:58:04 PM,Customer Care Call,Athens,Tennessee,37303,Solved,No;;,Closed,6,at&t,Other
211976,Fraudulent claims reported to collections agency,04/01/2015,2015-01-04,1:26:53 PM,Customer Care Call,Atlanta,Georgia,30312,Closed,No;;,Closed,1,fraudulent claims reported to collections agency,Company or Marketing
243998,Disney using a Data Cap to take however much money they like,19/04/2015,2015-04-19,10:49:13 PM,Internet,Atlanta,Georgia,30097,Closed,No;;,Closed,4,disney using a data cap to take however much money they like,Network
265755,Disney Data Cap,30/04/2015,2015-04-30,8:50:19 AM,Customer Care Call,Atlanta,Georgia,30339,Closed,No;;,Closed,4,disney data cap,Network
230907,Speed of service,04/11/2015,2015-11-04,8:30:03 PM,Customer Care Call,Atlanta,Georgia,30319,Closed,No;;,Closed,11,speed of service,Internet
231273,Disney's Monopolistic Practices and Data Capping,04/12/2015,2015-12-04,3:22:03 PM,Internet,Atlanta,Georgia,30315,Closed,No;;,Closed,12,disney's monopolistic practices and data capping,Network
231377,Disney billing problem,04/12/2015,2015-12-04,6:18:10 PM,Internet,Atlanta,Georgia,30308,Closed,No;;,Closed,12,disney billing problem,Billing
252681,Disney Needs Competition,23/04/2015,2015-04-23,2:26:10 PM,Customer Care Call,Atlanta,Georgia,30315,Closed,No;;,Closed,4,disney needs competition,Company or Marketing
268101,Disney services/billing issues,05/01/2015,2015-01-05,10:00:59 AM,Customer Care Call,Atlanta,Georgia,30316,Solved,No;;,Closed,1,disney services/billing issues,Billing
269066,Incorrect Bill,05/01/2015,2015-01-05,3:43:37 PM,Customer Care Call,Atlanta,Georgia,30317,Solved,No;;,Closed,1,incorrect bill,Billing
273420,Legality of data caps,05/05/2015,2015-05-05,11:58:26 AM,Internet,Atlanta,Georgia,30315,Closed,No;;,Closed,5,legality of data caps,Network
278509,Data caps,05/07/2015,2015-07-05,2:55:45 PM,Internet,Atlanta,Georgia,30363,Open,No;;,Open,7,data caps,Network
279656,Disney Added Service After I Declined It,05/08/2015,2015-08-05,8:47:45 AM,Internet,Atlanta,Georgia,30345,Solved,No;;,Closed,8,disney added service after i declined it,Network
288771,Disney Misled With Overage Policy,13/05/2015,2015-05-13,7:55:53 PM,Internet,Atlanta,Georgia,30317,Open,No;;,Open,5,disney misled with overage policy,Other
293512,Cable service and telephone connect not complete,16/05/2015,2015-05-16,4:29:33 PM,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes;;,Closed,5,cable service and telephone connect not complete,Internet
297104,Disney data cap,19/05/2015,2015-05-19,1:51:11 PM,Customer Care Call,Atlanta,Georgia,30305,Solved,No;;,Closed,5,disney data cap,Network
303412,Disney Won't Cancel My Service,22/05/2015,2015-05-22,1:09:51 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No;;,Closed,5,disney won't cancel my service,Network
304450,Data Caps,23/05/2015,2015-05-23,12:05:55 AM,Internet,Atlanta,Georgia,30318,Open,No;;,Open,5,data caps,Network
305137,Disney disconnecting service before due date,23/05/2015,2015-05-23,11:34:43 PM,Internet,Atlanta,Georgia,30324,Open,No;;,Open,5,disney disconnecting service before due date,Network
305982,Disney data cap,25/05/2015,2015-05-25,3:34:56 PM,Internet,Atlanta,Georgia,30309,Open,No;;,Open,5,disney data cap,Network
307799,Disney,26/05/2015,2015-05-26,4:29:57 PM,Customer Care Call,Atlanta,Georgia,30318,Solved,No;;,Closed,5,disney,Other
308171,Unbelievable Treatment,26/05/2015,2015-05-26,6:40:25 PM,Customer Care Call,Atlanta,Georgia,30310,Solved,No;;,Closed,5,unbelievable treatment,Service Complaints
312746,Denial of Disney Business (Phone and internet) Service to my dental practice,28/05/2015,2015-05-28,10:35:40 PM,Customer Care Call,Atlanta,Georgia,30324,Solved,No;;,Closed,5,denial of disney business (phone and internet) service to my dental practice,Internet
311725,Disney's Terrible Service - How are they still in business?,28/05/2015,2015-05-28,2:46:47 PM,Internet,Atlanta,Georgia,30309,Solved,No;;,Closed,5,disney's terrible service - how are they still in business?,Network
313949,they are forcing me for my bank account information by suspending my services for no reason (I also feel like they are committing corporate theft).,29/05/2015,2015-05-29,3:56:01 PM,Internet,Atlanta,Georgia,30314,Solved,No;;,Closed,5,they are forcing me for my bank account information by suspending my services for no reason (i also feel like they are committing corporate theft).,Billing
315173,Disney discontinuation of service issue,30/05/2015,2015-05-30,3:27:41 PM,Customer Care Call,Atlanta,Georgia,30312,Open,No;;,Open,5,disney discontinuation of service issue,Network
317945,Disney customer service,06/01/2015,2015-01-06,9:32:46 PM,Customer Care Call,Atlanta,Georgia,30329,Closed,No;;,Closed,1,disney customer service,Network
318301,Disney,06/02/2015,2015-02-06,10:06:22 AM,Customer Care Call,Atlanta,Georgia,30315,Closed,No;;,Closed,2,disney,Other
322882,Disney won't quit charging me for modem rental,06/04/2015,2015-04-06,10:58:18 AM,Internet,Atlanta,Georgia,30317,Solved,No;;,Closed,4,disney won't quit charging me for modem rental,Internet
323473,Disney download caps,06/04/2015,2015-04-06,2:18:03 PM,Internet,Atlanta,Georgia,30345,Solved,No;;,Closed,4,disney download caps,Network
